,date,time,abstract,sentiment_score
114,2018-03-14,23:25:58+0000,"The Senate, in a rare show of bipartisanship, voted 67 to 31 to ease some financial rules imposed after the 2008 financial crisis.","{'neg': 0.201, 'neu': 0.706, 'pos': 0.093, 'compound': -0.4404}"
115,2018-03-12,15:19:43+0000,"A pornographic film star who says she had an affair with President Trump will return $130,000 she got from Mr. Trump’s personal lawyer if doing so means she can speak freely, her lawyer said in a letter.","{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.4404}"
116,2018-03-12,13:28:52+0000,"The company said Harvey Schwartz would retire, clearing the way for David Solomon, his fellow president and co-chief operating officer, to take the top job.","{'neg': 0.0, 'neu': 0.93, 'pos': 0.07, 'compound': 0.2023}"
117,2018-03-09,18:40:06+0000,"The I.R.S. says that if the loan is used for home improvements, you can still claim the deduction. But if you’re paying off credit card debt, you can’t.","{'neg': 0.077, 'neu': 0.772, 'pos': 0.151, 'compound': 0.34}"
118,2018-03-08,14:17:43+0000,"Humans are hard-wired to run from pain, so you may want to sell stocks when markets gyrate. But before you do that, try physical human contact instead.","{'neg': 0.111, 'neu': 0.837, 'pos': 0.052, 'compound': -0.4091}"
119,2018-03-08,10:00:11+0000,"After years of steadily rising markets, a recent spurt of financial volatility has rattled many investors. Professional traders couldn’t be happier.","{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.5267}"
120,2018-03-08,04:45:07+0000,"The European Central Bank made a subtle but important change in a statement, taking a step toward exiting crisis mode in its monetary policy.","{'neg': 0.21, 'neu': 0.708, 'pos': 0.082, 'compound': -0.6652}"
121,2018-03-05,02:00:04+0000,"The unemployment rate could tick down to 4 percent, but chances are good that the trade talks extend into April.","{'neg': 0.078, 'neu': 0.599, 'pos': 0.323, 'compound': 0.7311}"
122,2018-03-05,01:08:12+0000,"A provision in a Senate bill aimed at easing Dodd-Frank’s restrictions on smaller banks could pave the way for rollbacks for big banks, critics say.","{'neg': 0.087, 'neu': 0.833, 'pos': 0.079, 'compound': -0.0516}"
123,2018-03-02,18:56:47+0000,"People who don’t drive much usually get in fewer accidents. But, a study finds, insurers typically emphasize a driver’s marital status or credit score.","{'neg': 0.092, 'neu': 0.803, 'pos': 0.104, 'compound': 0.0772}"
124,2018-03-01,12:30:49+0000,"If history is any indicator, investors might take a trade skirmish in stride.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
125,2018-03-01,01:10:21+0000,"A lawsuit by a former employee claims that when customers complained of fraudulent activity in their accounts, the bank closed the accounts instead of investigating them.","{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.7783}"
126,2018-02-24,15:41:06+0000,Warren Buffett released his annual letter to Berkshire Hathaway’s shareholders and it discussed why the conglomerate largely avoided big deals last year.,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.34}"
