,date,time,abstract,sentiment_score
97,2018-05-14,16:14:20+0000,President Trump has not yet crafted a strategy for his involvement in the midterms. So his supremely disciplined running mate has stepped into the void.,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.6096}"
98,2018-05-17,13:00:05+0000,"Party officials want to resolve differences over the role and influence of superdelegates, which were a major sticking point in the 2016 primaries.","{'neg': 0.0, 'neu': 0.742, 'pos': 0.258, 'compound': 0.6808}"
99,2018-05-16,23:31:23+0000,"At a Center for American Progress conference, Democrats who are potentially eyeing 2020 focused less on opposing President Trump and more on affirmative policy goals.","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.6597}"
100,2018-05-16,09:00:18+0000,"In Pennsylvania, the Democrats rallied around women, and the Republicans went for candidates in the Trump mold.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
101,2018-05-16,17:25:29+0000,"Complete disengagement is impossible, but both Washington and Beijing envision a day when they don’t need each other as much to power their economies.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
102,2018-05-16,11:53:35+0000,"The Swiss pharmaceutical giant said Felix R. Ehrat would retire, after the company said this month it had made payments to President Trump’s personal lawyer.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
103,2018-05-16,02:20:37+0000,"Buoyed by a new congressional map and grass-roots anger at President Trump, Democrats are poised to flip several Republican-held districts in a state Mr. Trump narrowly won in 2016.","{'neg': 0.111, 'neu': 0.719, 'pos': 0.171, 'compound': 0.25}"
104,2018-05-15,13:21:41+0000,"Voters on Tuesday cast ballots for primaries in four states: Idaho, Nebraska, Oregon and Pennsylvania.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
105,2018-05-15,19:05:11+0000,President Trump and congressional Republicans are reviving an enduring party view that tying work requirements to antipoverty programs benefits those in need. There’s little evidence that’s so.,"{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.6486}"
106,2018-05-15,22:56:41+0000,"Some of those testifying about the proposal commended the tariffs, and others criticized them. But all agreed on the potential for the plan to irrevocably alter the course of their businesses.","{'neg': 0.07, 'neu': 0.789, 'pos': 0.141, 'compound': 0.3612}"
107,2018-05-15,15:21:55+0000,The president’s evangelical supporters are celebrating the new American Embassy in Jerusalem as another policy promise he has made good on.,"{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.8957}"
108,2018-05-14,19:48:03+0000,"The state has a brand-new voting map, which analysts predict may help Democrats eventually gain up to six seats in the House of Representatives this fall.","{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.7269}"
109,2018-05-14,14:55:06+0000,"The shift by the American president could ease tensions ahead of a visit to Washington by Liu He, a vice premier in the Beijing government.","{'neg': 0.103, 'neu': 0.802, 'pos': 0.095, 'compound': -0.0516}"
110,2018-05-14,09:00:06+0000,"David Brody has unusual access to the president. In return, Mr. Trump gets a direct line to the evangelical audience he depends on.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
111,2018-05-14,06:00:03+0000,The National Retail Federation is planning an advertising blitz on “Fox & Friends” to persuade Mr. Trump to back away from his tariffs plan.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
112,2018-05-12,17:13:12+0000,"The federal tax law had the unintended effect of giving states a tax windfall. Now, states must weigh whether to spend the money or give it back to residents.","{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.34}"
113,2018-05-11,14:04:31+0000,"In a companywide memo, Randall Stephenson also said the company’s head of lobbying would retire.","{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.0772}"
114,2018-05-11,21:28:38+0000,"F.B.I. agents are said to have interviewed people who worked with Mr. Kurson at The Observer, the publication owned by the Kushner family, where he served as editor.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
115,2018-05-09,22:35:58+0000,"The White House’s exultation over liberal men who resign over sexual misconduct has grated politicians in both parties, who view President Trump as a poor messenger on women’s rights.","{'neg': 0.166, 'neu': 0.753, 'pos': 0.081, 'compound': -0.4215}"
116,2018-05-09,22:30:38+0000,"After primaries in prime Trump territory Tuesday, Republicans were eager to embrace the president while Democrats had a more delicate balancing act.","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6478}"
117,2018-05-09,17:20:30+0000,"Robert Pittenger, seeking his fourth term, lost a primary challenge on Tuesday to Mark Harris, a Baptist minister who opposes same-sex marriage.","{'neg': 0.106, 'neu': 0.833, 'pos': 0.06, 'compound': -0.25}"
118,2018-05-09,14:09:03+0000,"Technology has come under the microscope in Washington. Here are the tools that Cecilia Kang, who covers tech policy for The Times, uses to cover it.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
119,2018-05-09,00:30:50+0000,"The victory by Richard Cordray, who was endorsed by Senator Elizabeth Warren of Massachusetts, came as a relief to many Democrats who saw Dennis Kucinich as unelectable.","{'neg': 0.0, 'neu': 0.825, 'pos': 0.175, 'compound': 0.6249}"
120,2018-05-09,02:13:25+0000,"The former coal executive faced a concerted effort by Republicans to stop him, including an appeal from President Trump. Patrick Morrisey, the state’s attorney general, won the party’s nomination.","{'neg': 0.069, 'neu': 0.815, 'pos': 0.116, 'compound': 0.3612}"
121,2018-05-07,13:40:05+0000,"The president tweeted that Don Blankenship’s opponents have a better chance of beating the incumbent Democratic senator, Joe Manchin.","{'neg': 0.131, 'neu': 0.655, 'pos': 0.214, 'compound': 0.2263}"
122,2018-05-06,20:22:40+0000,"The I.R.S. has started sending penalty notices to businesses that failed to comply with the Affordable Care Act’s employer mandate, angering Republicans and business groups.","{'neg': 0.282, 'neu': 0.623, 'pos': 0.095, 'compound': -0.743}"
